abs	[#number#]abs(<#mixed $number#>)
cairo_font_options_set_antialias	[#void#]cairo_font_options_set_antialias(<#CairoFontOptions $options#>,<#int $antialias#>)
cairo_font_options_set_hint_metrics	[#void#]cairo_font_options_set_hint_metrics(<#CairoFontOptions $options#>,<#int $hint_metrics#>)
cairo_font_options_set_hint_style	[#void#]cairo_font_options_set_hint_style(<#CairoFontOptions $options#>,<#int $hint_style#>)
cairo_font_options_set_subpixel_order	[#void#]cairo_font_options_set_subpixel_order(<#CairoFontOptions $options#>,<#int $subpixel_order#>)
cairo_font_options_status	[#int#]cairo_font_options_status(<#CairoFontOptions $options#>)
cairo_format_stride_for_width	[#int#]cairo_format_stride_for_width(<#int $format#>,<#int $width#>)
cairo_image_surface_create	[#CairoImageSurface#]cairo_image_surface_create(<#int $format#>,<#int $width#>,<#int $height#>)
cairo_image_surface_create_for_data	[#CairoImageSurface#]cairo_image_surface_create_for_data(<#string $data#>,<#int $format#>,<#int $width#>,<#int $height#>,<#int $stride#>)
cairo_image_surface_create_from_png	[#CairoImageSurface#]cairo_image_surface_create_from_png(<#string $file#>)
cairo_image_surface_get_data	[#string#]cairo_image_surface_get_data(<#CairoImageSurface $surface#>)
cairo_image_surface_get_format	[#int#]cairo_image_surface_get_format(<#CairoImageSurface $surface#>)
cairo_image_surface_get_height	[#int#]cairo_image_surface_get_height(<#CairoImageSurface $surface#>)
cairo_image_surface_get_stride	[#int#]cairo_image_surface_get_stride(<#CairoImageSurface $surface#>)
cairo_image_surface_get_width	[#int#]cairo_image_surface_get_width(<#CairoImageSurface $surface#>)
cairo_matrix_invert	[#void#]cairo_matrix_invert(<#CairoMatrix $matrix#>)
cairo_matrix_multiply	[#CairoMatrix#]cairo_matrix_multiply(<#CairoMatrix $matrix1#>,<#CairoMatrix $matrix2#>)
cairo_matrix_rotate	[#void#]cairo_matrix_rotate(<#CairoMatrix $matrix#>,<#float $radians#>)
cairo_matrix_transform_distance	[#array#]cairo_matrix_transform_distance(<#CairoMatrix $matrix#>,<#float $dx#>,<#float $dy#>)
cairo_matrix_transform_point	[#array#]cairo_matrix_transform_point(<#CairoMatrix $matrix#>,<#float $dx#>,<#float $dy#>)
cairo_matrix_translate	[#void#]cairo_matrix_translate(<#CairoMatrix $matrix#>,<#float $tx#>,<#float $ty#>)
cairo_pattern_add_color_stop_rgba	[#void#]cairo_pattern_add_color_stop_rgba(<#CairoGradientPattern $pattern#>,<#float $offset#>,<#float $red#>,<#float $green#>,<#float $blue#>,<#float $alpha#>)
cairo_pattern_add_color_stop_rgb	[#void#]cairo_pattern_add_color_stop_rgb(<#CairoGradientPattern $pattern#>,<#float $offset#>,<#float $red#>,<#float $green#>,<#float $blue#>)
cairo_pattern_create_for_surface	[#CairoPattern#]cairo_pattern_create_for_surface(<#CairoSurface $surface#>)
cairo_pattern_create_linear	[#CairoPattern#]cairo_pattern_create_linear(<#float $x0#>,<#float $y0#>,<#float $x1#>,<#float $y1#>)
cairo_pattern_create_radial	[#CairoPattern#]cairo_pattern_create_radial(<#float $x0#>,<#float $y0#>,<#float $r0#>,<#float $x1#>,<#float $y1#>,<#float $r1#>)
