abs	[#number#]abs(<#mixed $number#>)
ps_end_template	[#bool#]ps_end_template(<#resource $psdoc#>)
ps_fill	[#bool#]ps_fill(<#resource $psdoc#>)
ps_fill_stroke	[#bool#]ps_fill_stroke(<#resource $psdoc#>)
ps_findfont	[#int#]ps_findfont(<#resource $psdoc#>,<#string $fontname#>,<#string $encoding#>,<#bool $embed#>)
ps_get_buffer	[#string#]ps_get_buffer(<#resource $psdoc#>)
ps_get_parameter	[#string#]ps_get_parameter(<#resource $psdoc#>,<#string $name#>,<#float $modifier#>)
ps_get_value	[#float#]ps_get_value(<#resource $psdoc#>,<#string $name#>,<#float $modifier#>)
ps_hyphenate	[#array#]ps_hyphenate(<#resource $psdoc#>,<#string $text#>)
ps_include_file	[#bool#]ps_include_file(<#resource $psdoc#>,<#string $file#>)
ps_lineto	[#bool#]ps_lineto(<#resource $psdoc#>,<#float $x#>,<#float $y#>)
ps_makespotcolor	[#int#]ps_makespotcolor(<#resource $psdoc#>,<#string $name#>,<#int $reserved#>)
ps_moveto	[#bool#]ps_moveto(<#resource $psdoc#>,<#float $x#>,<#float $y#>)
ps_new	[#resource#]ps_new()
ps_open_file	[#bool#]ps_open_file(<#resource $psdoc#>,<#string $filename#>)
ps_open_image_file	[#int#]ps_open_image_file(<#resource $psdoc#>,<#string $type#>,<#string $filename#>,<#string $stringparam#>,<#int $intparam#>)
ps_open_image	[#int#]ps_open_image(<#resource $psdoc#>,<#string $type#>,<#string $source#>,<#string $data#>,<#int $lenght#>,<#int $width#>,<#int $height#>,<#int $components#>,<#int $bpc#>,<#string $params#>)
ps_open_memory_image	[#int#]ps_open_memory_image(<#resource $psdoc#>,<#int $gd#>)
pspell_add_to_personal	[#bool#]pspell_add_to_personal(<#int $dictionary_link#>,<#string $word#>)
pspell_add_to_session	[#bool#]pspell_add_to_session(<#int $dictionary_link#>,<#string $word#>)
pspell_check	[#bool#]pspell_check(<#int $dictionary_link#>,<#string $word#>)
pspell_clear_session	[#bool#]pspell_clear_session(<#int $dictionary_link#>)
pspell_config_create	[#int#]pspell_config_create(<#string $language#>,<#string $spelling#>,<#string $jargon#>,<#string $encoding#>)
pspell_config_data_dir	[#bool#]pspell_config_data_dir(<#int $conf#>,<#string $directory#>)
pspell_config_dict_dir	[#bool#]pspell_config_dict_dir(<#int $conf#>,<#string $directory#>)
pspell_config_ignore	[#bool#]pspell_config_ignore(<#int $dictionary_link#>,<#int $n#>)
pspell_config_mode	[#bool#]pspell_config_mode(<#int $dictionary_link#>,<#int $mode#>)
pspell_config_personal	[#bool#]pspell_config_personal(<#int $dictionary_link#>,<#string $file#>)
pspell_config_repl	[#bool#]pspell_config_repl(<#int $dictionary_link#>,<#string $file#>)
pspell_config_runtogether	[#bool#]pspell_config_runtogether(<#int $dictionary_link#>,<#bool $flag#>)
pspell_config_save_repl	[#bool#]pspell_config_save_repl(<#int $dictionary_link#>,<#bool $flag#>)
pspell_new_config	[#int#]pspell_new_config(<#int $config#>)
pspell_new	[#int#]pspell_new(<#string $language#>,<#string $spelling#>,<#string $jargon#>,<#string $encoding#>,<#int $mode#>)
pspell_new_personal	[#int#]pspell_new_personal(<#string $personal#>,<#string $language#>,<#string $spelling#>,<#string $jargon#>,<#string $encoding#>,<#int $mode#>)
pspell_save_wordlist	[#bool#]pspell_save_wordlist(<#int $dictionary_link#>)
pspell_store_replacement	[#bool#]pspell_store_replacement(<#int $dictionary_link#>,<#string $misspelled#>,<#string $correct#>)
pspell_suggest	[#array#]pspell_suggest(<#int $dictionary_link#>,<#string $word#>)
ps_place_image	[#bool#]ps_place_image(<#resource $psdoc#>,<#int $imageid#>,<#float $x#>,<#float $y#>,<#float $scale#>)
ps_rect	[#bool#]ps_rect(<#resource $psdoc#>,<#float $x#>,<#float $y#>,<#float $width#>,<#float $height#>)
ps_restore	[#bool#]ps_restore(<#resource $psdoc#>)
ps_rotate	[#bool#]ps_rotate(<#resource $psdoc#>,<#float $rot#>)
ps_save	[#bool#]ps_save(<#resource $psdoc#>)
ps_scale	[#bool#]ps_scale(<#resource $psdoc#>,<#float $x#>,<#float $y#>)
ps_set_border_color	[#bool#]ps_set_border_color(<#resource $psdoc#>,<#float $red#>,<#float $green#>,<#float $blue#>)
ps_set_border_dash	[#bool#]ps_set_border_dash(<#resource $psdoc#>,<#float $black#>,<#float $white#>)
ps_set_border_style	[#bool#]ps_set_border_style(<#resource $psdoc#>,<#string $style#>,<#float $width#>)
ps_setcolor	[#bool#]ps_setcolor(<#resource $psdoc#>,<#string $type#>,<#string $colorspace#>,<#float $c1#>,<#float $c2#>,<#float $c3#>,<#float $c4#>)
ps_setdash	[#bool#]ps_setdash(<#resource $psdoc#>,<#float $on#>,<#float $off#>)
ps_setflat	[#bool#]ps_setflat(<#resource $psdoc#>,<#float $value#>)
ps_setfont	[#bool#]ps_setfont(<#resource $psdoc#>,<#int $fontid#>,<#float $size#>)
ps_setgray	[#bool#]ps_setgray(<#resource $psdoc#>,<#float $gray#>)
ps_set_info	[#bool#]ps_set_info(<#resource $p#>,<#string $key#>,<#string $val#>)
ps_setlinecap	[#bool#]ps_setlinecap(<#resource $psdoc#>,<#int $type#>)
ps_setlinejoin	[#bool#]ps_setlinejoin(<#resource $psdoc#>,<#int $type#>)
ps_setlinewidth	[#bool#]ps_setlinewidth(<#resource $psdoc#>,<#float $width#>)
ps_setmiterlimit	[#bool#]ps_setmiterlimit(<#resource $psdoc#>,<#float $value#>)
ps_setoverprintmode	[#bool#]ps_setoverprintmode(<#resource $psdoc#>,<#int $mode#>)
ps_set_parameter	[#bool#]ps_set_parameter(<#resource $psdoc#>,<#string $name#>,<#string $value#>)
ps_setpolydash	[#bool#]ps_setpolydash(<#resource $psdoc#>,<#float $arr#>)
ps_set_text_pos	[#bool#]ps_set_text_pos(<#resource $psdoc#>,<#float $x#>,<#float $y#>)
ps_set_value	[#bool#]ps_set_value(<#resource $psdoc#>,<#string $name#>,<#float $value#>)
ps_shading	[#int#]ps_shading(<#resource $psdoc#>,<#string $type#>,<#float $x0#>,<#float $y0#>,<#float $x1#>,<#float $y1#>,<#float $c1#>,<#float $c2#>,<#float $c3#>,<#float $c4#>,<#string $optlist#>)
ps_shading_pattern	[#int#]ps_shading_pattern(<#resource $psdoc#>,<#int $shadingid#>,<#string $optlist#>)
ps_shfill	[#bool#]ps_shfill(<#resource $psdoc#>,<#int $shadingid#>)
ps_show2	[#bool#]ps_show2(<#resource $psdoc#>,<#string $text#>,<#int $len#>)
ps_show	[#bool#]ps_show(<#resource $psdoc#>,<#string $text#>)
ps_show_boxed	[#int#]ps_show_boxed(<#resource $psdoc#>,<#string $text#>,<#float $left#>,<#float $bottom#>,<#float $width#>,<#float $height#>,<#string $hmode#>,<#string $feature#>)
ps_show_xy2	[#bool#]ps_show_xy2(<#resource $psdoc#>,<#string $text#>,<#int $len#>,<#float $xcoor#>,<#float $ycoor#>)
ps_show_xy	[#bool#]ps_show_xy(<#resource $psdoc#>,<#string $text#>,<#float $x#>,<#float $y#>)
ps_string_geometry	[#array#]ps_string_geometry(<#resource $psdoc#>,<#string $text#>,<#int $fontid#>,<#float $size#>)
ps_stringwidth	[#float#]ps_stringwidth(<#resource $psdoc#>,<#string $text#>,<#int $fontid#>,<#float $size#>)
ps_stroke	[#bool#]ps_stroke(<#resource $psdoc#>)
ps_symbol	[#bool#]ps_symbol(<#resource $psdoc#>,<#int $ord#>)
ps_symbol_name	[#string#]ps_symbol_name(<#resource $psdoc#>,<#int $ord#>,<#int $fontid#>)
ps_symbol_width	[#float#]ps_symbol_width(<#resource $psdoc#>,<#int $ord#>,<#int $fontid#>,<#float $size#>)
ps_translate	[#bool#]ps_translate(<#resource $psdoc#>,<#float $x#>,<#float $y#>)
putenv	[#bool#]putenv(<#string $setting#>)
px_close	[#bool#]px_close(<#resource $pxdoc#>)
px_create_fp	[#bool#]px_create_fp(<#resource $pxdoc#>,<#resource $file#>,<#array $fielddesc#>)
px_date2string	[#string#]px_date2string(<#resource $pxdoc#>,<#int $value#>,<#string $format#>)
px_delete	[#bool#]px_delete(<#resource $pxdoc#>)
px_delete_record	[#bool#]px_delete_record(<#resource $pxdoc#>,<#int $num#>)
px_get_field	[#array#]px_get_field(<#resource $pxdoc#>,<#int $fieldno#>)
px_get_info	[#array#]px_get_info(<#resource $pxdoc#>)
px_get_parameter	[#string#]px_get_parameter(<#resource $pxdoc#>,<#string $name#>)
px_get_record	[#array#]px_get_record(<#resource $pxdoc#>,<#int $num#>,<#int $mode#>)
px_get_schema	[#array#]px_get_schema(<#resource $pxdoc#>,<#int $mode#>)
px_get_value	[#float#]px_get_value(<#resource $pxdoc#>,<#string $name#>)
px_insert_record	[#int#]px_insert_record(<#resource $pxdoc#>,<#array $data#>)
px_new	[#resource#]px_new()
px_numfields	[#int#]px_numfields(<#resource $pxdoc#>)
px_numrecords	[#int#]px_numrecords(<#resource $pxdoc#>)
px_open_fp	[#bool#]px_open_fp(<#resource $pxdoc#>,<#resource $file#>)
px_put_record	[#bool#]px_put_record(<#resource $pxdoc#>,<#array $record#>,<#int $recpos#>)
px_retrieve_record	[#array#]px_retrieve_record(<#resource $pxdoc#>,<#int $num#>,<#int $mode#>)
px_set_blob_file	[#bool#]px_set_blob_file(<#resource $pxdoc#>,<#string $filename#>)
px_set_parameter	[#bool#]px_set_parameter(<#resource $pxdoc#>,<#string $name#>,<#string $value#>)
px_set_tablename	[#void#]px_set_tablename(<#resource $pxdoc#>,<#string $name#>)
px_set_targetencoding	[#bool#]px_set_targetencoding(<#resource $pxdoc#>,<#string $encoding#>)
px_set_value	[#bool#]px_set_value(<#resource $pxdoc#>,<#string $name#>,<#float $value#>)
px_timestamp2string	[#string#]px_timestamp2string(<#resource $pxdoc#>,<#float $value#>,<#string $format#>)
px_update_record	[#bool#]px_update_record(<#resource $pxdoc#>,<#array $data#>,<#int $num#>)
quoted_printable_decode	[#string#]quoted_printable_decode(<#string $str#>)
quoted_printable_encode	[#string#]quoted_printable_encode(<#string $str#>)
quotemeta	[#string#]quotemeta(<#string $str#>)
rad2deg	[#float#]rad2deg(<#float $number#>)
radius_acct_open	[#resource#]radius_acct_open()
radius_add_server	[#bool#]radius_add_server(<#resource $radius_handle#>,<#string $hostname#>,<#int $port#>,<#string $secret#>,<#int $timeout#>,<#int $max_tries#>)
radius_auth_open	[#resource#]radius_auth_open()
radius_close	[#bool#]radius_close(<#resource $radius_handle#>)
radius_config	[#bool#]radius_config(<#resource $radius_handle#>,<#string $file#>)
radius_create_request	[#bool#]radius_create_request(<#resource $radius_handle#>,<#int $type#>)
radius_cvt_addr	[#string#]radius_cvt_addr(<#string $data#>)
radius_cvt_int	[#int#]radius_cvt_int(<#string $data#>)
radius_cvt_string	[#string#]radius_cvt_string(<#string $data#>)
radius_demangle_mppe_key	[#string#]radius_demangle_mppe_key(<#resource $radius_handle#>,<#string $mangled#>)
radius_demangle	[#string#]radius_demangle(<#resource $radius_handle#>,<#string $mangled#>)
radius_get_attr	[#mixed#]radius_get_attr(<#resource $radius_handle#>)
radius_get_tagged_attr_data	[#string#]radius_get_tagged_attr_data(<#string $data#>)
radius_get_tagged_attr_tag	[#integer#]radius_get_tagged_attr_tag(<#string $data#>)
radius_get_vendor_attr	[#array#]radius_get_vendor_attr(<#string $data#>)
radius_put_addr	[#bool#]radius_put_addr(<#resource $radius_handle#>,<#int $type#>,<#string $addr#>,<#int $options#>,<#int $tag#>)
radius_put_attr	[#bool#]radius_put_attr(<#resource $radius_handle#>,<#int $type#>,<#string $value#>,<#int $options#>,<#int $tag#>)
radius_put_int	[#bool#]radius_put_int(<#resource $radius_handle#>,<#int $type#>,<#int $value#>,<#int $options#>,<#int $tag#>)
radius_put_string	[#bool#]radius_put_string(<#resource $radius_handle#>,<#int $type#>,<#string $value#>,<#int $options#>,<#int $tag#>)
radius_put_vendor_addr	[#bool#]radius_put_vendor_addr(<#resource $radius_handle#>,<#int $vendor#>,<#int $type#>,<#string $addr#>)
radius_put_vendor_attr	[#bool#]radius_put_vendor_attr(<#resource $radius_handle#>,<#int $vendor#>,<#int $type#>,<#string $value#>,<#int $options#>,<#int $tag#>)
radius_put_vendor_int	[#bool#]radius_put_vendor_int(<#resource $radius_handle#>,<#int $vendor#>,<#int $type#>,<#int $value#>,<#int $options#>,<#int $tag#>)
radius_put_vendor_string	[#bool#]radius_put_vendor_string(<#resource $radius_handle#>,<#int $vendor#>,<#int $type#>,<#string $value#>,<#int $options#>,<#int $tag#>)
radius_request_authenticator	[#string#]radius_request_authenticator(<#resource $radius_handle#>)
radius_salt_encrypt_attr	[#string#]radius_salt_encrypt_attr(<#resource $radius_handle#>,<#string $data#>)
radius_send_request	[#int#]radius_send_request(<#resource $radius_handle#>)
radius_server_secret	[#string#]radius_server_secret(<#resource $radius_handle#>)
radius_strerror	[#string#]radius_strerror(<#resource $radius_handle#>)
rand	[#int#]rand()
range	[#array#]range(<#mixed $start#>,<#mixed $limit#>,<#number $step#>)
rar_wrapper_cache_stats	[#string#]rar_wrapper_cache_stats()
rawurldecode	[#string#]rawurldecode(<#string $str#>)
rawurlencode	[#string#]rawurlencode(<#string $str#>)
readdir	[#string#]readdir(<#resource $dir_handle#>)
readfile	[#int#]readfile(<#string $filename#>,<#bool $use_include_path#>,<#resource $context#>)
readgzfile	[#int#]readgzfile(<#string $filename#>,<#int $use_include_path#>)
readline_add_history	[#bool#]readline_add_history(<#string $line#>)
readline_callback_handler_install	[#bool#]readline_callback_handler_install(<#string $prompt#>,<#callable $callback#>)
readline_callback_handler_remove	[#bool#]readline_callback_handler_remove()
readline_callback_read_char	[#void#]readline_callback_read_char()
readline_clear_history	[#bool#]readline_clear_history()
readline_completion_function	[#bool#]readline_completion_function(<#callable $function#>)
readline_info	[#mixed#]readline_info(<#string $varname#>,<#string $newvalue#>)
readline_list_history	[#array#]readline_list_history()
readline_on_new_line	[#void#]readline_on_new_line()
readline_read_history	[#bool#]readline_read_history(<#string $filename#>)
readline_redisplay	[#void#]readline_redisplay()
readline	[#string#]readline(<#string $prompt#>)
readline_write_history	[#bool#]readline_write_history(<#string $filename#>)
readlink	[#string#]readlink(<#string $path#>)
realpath_cache_get	[#array#]realpath_cache_get()
realpath_cache_size	[#int#]realpath_cache_size()
realpath	[#string#]realpath(<#string $path#>)
recode_file	[#bool#]recode_file(<#string $request#>,<#resource $input#>,<#resource $output#>)
recode_string	[#string#]recode_string(<#string $request#>,<#string $string#>)
register_shutdown_function	[#void#]register_shutdown_function(<#callable $callback#>,<#mixed $parameter#>,<#mixed $...#>)
register_tick_function	[#bool#]register_tick_function(<#callable $function#>,<#mixed $arg#>,<#mixed $...#>)
rename	[#bool#]rename(<#string $oldname#>,<#string $newname#>,<#resource $context#>)
rename_function	[#bool#]rename_function(<#string $original_name#>,<#string $new_name#>)
reset	[#mixed#]reset(<#array &$array#>)
restore_error_handler	[#bool#]restore_error_handler()
restore_exception_handler	[#bool#]restore_exception_handler()
restore_include_path	[#void#]restore_include_path()
rewind	[#bool#]rewind(<#resource $handle#>)
rewinddir	[#void#]rewinddir(<#resource $dir_handle#>)
rmdir	[#bool#]rmdir(<#string $dirname#>,<#resource $context#>)
round	[#float#]round(<#float $val#>,<#int $precision#>,<#int $mode#>)
rpm_close	[#bool#]rpm_close(<#resource $rpmr#>)
rpm_get_tag	[#mixed#]rpm_get_tag(<#resource $rpmr#>,<#int $tagnum#>)
rpm_is_valid	[#bool#]rpm_is_valid(<#string $filename#>)
rpm_open	[#resource#]rpm_open(<#string $filename#>)
rpm_version	[#string#]rpm_version()
rrdc_disconnect	[#void#]rrdc_disconnect()
rrd_create	[#bool#]rrd_create(<#string $filename#>,<#array $options#>)
rrd_error	[#string#]rrd_error()
rrd_fetch	[#array#]rrd_fetch(<#string $filename#>,<#array $options#>)
rrd_first	[#int#]rrd_first(<#string $file#>,<#int $raaindex#>)
rrd_graph	[#array#]rrd_graph(<#string $filename#>,<#array $options#>)
rrd_info	[#array#]rrd_info(<#string $filename#>)
rrd_last	[#int#]rrd_last(<#string $filename#>)
rrd_lastupdate	[#array#]rrd_lastupdate(<#string $filename#>)
rrd_restore	[#bool#]rrd_restore(<#string $xml_file#>,<#string $rrd_file#>,<#array $options#>)
rrd_tune	[#bool#]rrd_tune(<#string $filename#>,<#array $options#>)
rrd_update	[#bool#]rrd_update(<#string $filename#>,<#array $options#>)
rrd_version	[#string#]rrd_version()
rrd_xport	[#array#]rrd_xport(<#array $options#>)
rsort	[#bool#]rsort(<#array &$array#>,<#int $sort_flags#>)
rtrim	[#string#]rtrim(<#string $str#>,<#string $charlist#>)
runkit_class_adopt	[#bool#]runkit_class_adopt(<#string $classname#>,<#string $parentname#>)
runkit_class_emancipate	[#bool#]runkit_class_emancipate(<#string $classname#>)
runkit_constant_add	[#bool#]runkit_constant_add(<#string $constname#>,<#mixed $value#>)
runkit_constant_redefine	[#bool#]runkit_constant_redefine(<#string $constname#>,<#mixed $newvalue#>)
runkit_constant_remove	[#bool#]runkit_constant_remove(<#string $constname#>)
runkit_function_add	[#bool#]runkit_function_add(<#string $funcname#>,<#string $arglist#>,<#string $code#>)
runkit_function_copy	[#bool#]runkit_function_copy(<#string $funcname#>,<#string $targetname#>)
runkit_function_redefine	[#bool#]runkit_function_redefine(<#string $funcname#>,<#string $arglist#>,<#string $code#>)
runkit_function_remove	[#bool#]runkit_function_remove(<#string $funcname#>)
runkit_function_rename	[#bool#]runkit_function_rename(<#string $funcname#>,<#string $newname#>)
runkit_import	[#bool#]runkit_import(<#string $filename#>,<#int $flags#>)
runkit_lint	[#bool#]runkit_lint(<#string $code#>)
runkit_lint_file	[#bool#]runkit_lint_file(<#string $filename#>)
runkit_method_add	[#bool#]runkit_method_add(<#string $classname#>,<#string $methodname#>,<#string $args#>,<#string $code#>,<#int $flags#>)
runkit_method_copy	[#bool#]runkit_method_copy(<#string $dClass#>,<#string $dMethod#>,<#string $sClass#>,<#string $sMethod#>)
runkit_method_redefine	[#bool#]runkit_method_redefine(<#string $classname#>,<#string $methodname#>,<#string $args#>,<#string $code#>,<#int $flags#>)
runkit_method_remove	[#bool#]runkit_method_remove(<#string $classname#>,<#string $methodname#>)
runkit_method_rename	[#bool#]runkit_method_rename(<#string $classname#>,<#string $methodname#>,<#string $newname#>)
runkit_return_value_used	[#bool#]runkit_return_value_used()
runkit_sandbox_output_handler	[#mixed#]runkit_sandbox_output_handler(<#object $sandbox#>,<#mixed $callback#>)
runkit_superglobals	[#array#]runkit_superglobals()
scandir	[#array#]scandir(<#string $directory#>,<#int $sorting_order#>,<#resource $context#>)
sem_acquire	[#bool#]sem_acquire(<#resource $sem_identifier#>)
sem_get	[#resource#]sem_get(<#int $key#>,<#int $max_acquire#>,<#int $perm#>,<#int $auto_release#>)
sem_release	[#bool#]sem_release(<#resource $sem_identifier#>)
sem_remove	[#bool#]sem_remove(<#resource $sem_identifier#>)
serialize	[#string#]serialize(<#mixed $value#>)
session_abort	[#bool#]session_abort()
session_cache_expire	[#int#]session_cache_expire(<#string $new_cache_expire#>)
session_cache_limiter	[#string#]session_cache_limiter(<#string $cache_limiter#>)
session_decode	[#bool#]session_decode(<#string $data#>)
session_destroy	[#bool#]session_destroy()
session_encode	[#string#]session_encode()
session_get_cookie_params	[#array#]session_get_cookie_params()
session_id	[#string#]session_id(<#string $id#>)
session_is_registered	[#bool#]session_is_registered(<#string $name#>)
session_module_name	[#string#]session_module_name(<#string $module#>)
session_name	[#string#]session_name(<#string $name#>)
session_pgsql_add_error	[#bool#]session_pgsql_add_error(<#int $error_level#>,<#string $error_message#>)
session_pgsql_get_error	[#array#]session_pgsql_get_error(<#bool $with_error_message#>)
session_pgsql_get_field	[#string#]session_pgsql_get_field()
session_pgsql_reset	[#bool#]session_pgsql_reset()
session_pgsql_set_field	[#bool#]session_pgsql_set_field(<#string $value#>)
session_pgsql_status	[#array#]session_pgsql_status()
session_regenerate_id	[#bool#]session_regenerate_id(<#bool $delete_old_session#>)
session_register	[#bool#]session_register(<#mixed $name#>,<#mixed $...#>)
session_register_shutdown	[#void#]session_register_shutdown()
session_reset	[#bool#]session_reset()
session_save_path	[#string#]session_save_path(<#string $path#>)
session_set_cookie_params	[#void#]session_set_cookie_params(<#int $lifetime#>,<#string $path#>,<#string $domain#>,<#bool $secure#>,<#bool $httponly#>)
session_set_save_handler	[#bool#]session_set_save_handler(<#callable $open#>,<#callable $close#>,<#callable $read#>,<#callable $write#>,<#callable $destroy#>,<#callable $gc#>,<#callable $create_sid#>)
session_start	[#bool#]session_start()
session_status	[#int#]session_status()
session_unregister	[#bool#]session_unregister(<#string $name#>)
session_unset	[#void#]session_unset()
session_write_close	[#void#]session_write_close()
setcookie	[#bool#]setcookie(<#string $name#>,<#string $value#>,<#int $expire#>,<#string $path#>,<#string $domain#>,<#bool $secure#>,<#bool $httponly#>)
set_error_handler	[#mixed#]set_error_handler(<#callable $error_handler#>,<#int $error_types#>)
set_exception_handler	[#callable#]set_exception_handler(<#callable $exception_handler#>)
set_include_path	[#string#]set_include_path(<#string $new_include_path#>)
setlocale	[#string#]setlocale(<#int $category#>,<#string $locale#>,<#string $...#>)
set_magic_quotes_runtime	[#bool#]set_magic_quotes_runtime(<#bool $new_setting#>)
setproctitle	[#void#]setproctitle(<#string $title#>)
setrawcookie	[#bool#]setrawcookie(<#string $name#>,<#string $value#>,<#int $expire#>,<#string $path#>,<#string $domain#>,<#bool $secure#>,<#bool $httponly#>)
setthreadtitle	[#bool#]setthreadtitle(<#string $title#>)
set_time_limit	[#void#]set_time_limit(<#int $seconds#>)
settype	[#bool#]settype(<#mixed &$var#>,<#string $type#>)
sha1_file	[#string#]sha1_file(<#string $filename#>,<#bool $raw_output#>)
sha1	[#string#]sha1(<#string $str#>,<#bool $raw_output#>)
shell_exec	[#string#]shell_exec(<#string $cmd#>)
shm_attach	[#resource#]shm_attach(<#int $key#>,<#int $memsize#>,<#int $perm#>)
shm_detach	[#bool#]shm_detach(<#resource $shm_identifier#>)
shm_get_var	[#mixed#]shm_get_var(<#resource $shm_identifier#>,<#int $variable_key#>)
shm_has_var	[#bool#]shm_has_var(<#resource $shm_identifier#>,<#int $variable_key#>)
shmop_close	[#void#]shmop_close(<#int $shmid#>)
shmop_delete	[#bool#]shmop_delete(<#int $shmid#>)
shmop_open	[#int#]shmop_open(<#int $key#>,<#string $flags#>,<#int $mode#>,<#int $size#>)
shmop_read	[#string#]shmop_read(<#int $shmid#>,<#int $start#>,<#int $count#>)
shmop_size	[#int#]shmop_size(<#int $shmid#>)
shmop_write	[#int#]shmop_write(<#int $shmid#>,<#string $data#>,<#int $offset#>)
shm_put_var	[#bool#]shm_put_var(<#resource $shm_identifier#>,<#int $variable_key#>,<#mixed $variable#>)
shm_remove	[#bool#]shm_remove(<#resource $shm_identifier#>)
shm_remove_var	[#bool#]shm_remove_var(<#resource $shm_identifier#>,<#int $variable_key#>)
shuffle	[#bool#]shuffle(<#array &$array#>)
similar_text	[#int#]similar_text(<#string $first#>,<#string $second#>,<#float &$percent#>)
simplexml_import_dom	[#SimpleXMLElement#]simplexml_import_dom(<#DOMNode $node#>,<#string $class_name#>)
simplexml_load_file	[#SimpleXMLElement#]simplexml_load_file(<#string $filename#>,<#string $class_name#>,<#int $options#>,<#string $ns#>,<#bool $is_prefix#>)
simplexml_load_string	[#SimpleXMLElement#]simplexml_load_string(<#string $data#>,<#string $class_name#>,<#int $options#>,<#string $ns#>,<#bool $is_prefix#>)
sin	[#float#]sin(<#float $arg#>)
sinh	[#float#]sinh(<#float $arg#>)
sleep	[#int#]sleep(<#int $seconds#>)
snmp2_getnext	[#string#]snmp2_getnext(<#string $host#>,<#string $community#>,<#string $object_id#>,<#string $timeout#>,<#string $retries#>)
snmp2_get	[#string#]snmp2_get(<#string $host#>,<#string $community#>,<#string $object_id#>,<#string $timeout#>,<#string $retries#>)
snmp2_real_walk	[#array#]snmp2_real_walk(<#string $host#>,<#string $community#>,<#string $object_id#>,<#string $timeout#>,<#string $retries#>)
snmp2_set	[#bool#]snmp2_set(<#string $host#>,<#string $community#>,<#string $object_id#>,<#string $type#>,<#string $value#>,<#string $timeout#>,<#string $retries#>)
snmp2_walk	[#array#]snmp2_walk(<#string $host#>,<#string $community#>,<#string $object_id#>,<#string $timeout#>,<#string $retries#>)
snmp3_getnext	[#string#]snmp3_getnext(<#string $host#>,<#string $sec_name#>,<#string $sec_level#>,<#string $auth_protocol#>,<#string $auth_passphrase#>,<#string $priv_protocol#>,<#string $priv_passphrase#>,<#string $object_id#>,<#string $timeout#>,<#string $retries#>)
snmp3_get	[#string#]snmp3_get(<#string $host#>,<#string $sec_name#>,<#string $sec_level#>,<#string $auth_protocol#>,<#string $auth_passphrase#>,<#string $priv_protocol#>,<#string $priv_passphrase#>,<#string $object_id#>,<#string $timeout#>,<#string $retries#>)
snmp3_real_walk	[#array#]snmp3_real_walk(<#string $host#>,<#string $sec_name#>,<#string $sec_level#>,<#string $auth_protocol#>,<#string $auth_passphrase#>,<#string $priv_protocol#>,<#string $priv_passphrase#>,<#string $object_id#>,<#string $timeout#>,<#string $retries#>)
snmp3_set	[#bool#]snmp3_set(<#string $host#>,<#string $sec_name#>,<#string $sec_level#>,<#string $auth_protocol#>,<#string $auth_passphrase#>,<#string $priv_protocol#>,<#string $priv_passphrase#>,<#string $object_id#>,<#string $type#>,<#string $value#>,<#int $timeout#>,<#int $retries#>)
snmp3_walk	[#array#]snmp3_walk(<#string $host#>,<#string $sec_name#>,<#string $sec_level#>,<#string $auth_protocol#>,<#string $auth_passphrase#>,<#string $priv_protocol#>,<#string $priv_passphrase#>,<#string $object_id#>,<#string $timeout#>,<#string $retries#>)
snmpgetnext	[#string#]snmpgetnext(<#string $host#>,<#string $community#>,<#string $object_id#>,<#int $timeout#>,<#int $retries#>)
snmp_get_quick_print	[#bool#]snmp_get_quick_print()
snmpget	[#string#]snmpget(<#string $hostname#>,<#string $community#>,<#string $object_id#>,<#int $timeout#>,<#int $retries#>)
snmp_get_valueretrieval	[#int#]snmp_get_valueretrieval()
snmp_read_mib	[#bool#]snmp_read_mib(<#string $filename#>)
snmprealwalk	[#array#]snmprealwalk(<#string $host#>,<#string $community#>,<#string $object_id#>,<#int $timeout#>,<#int $retries#>)
snmpset	[#bool#]snmpset(<#string $hostname#>,<#string $community#>,<#string $object_id#>,<#string $type#>,<#mixed $value#>,<#int $timeout#>,<#int $retries#>)
snmp_set_enum_print	[#bool#]snmp_set_enum_print(<#int $enum_print#>)
snmp_set_oid_numeric_print	[#void#]snmp_set_oid_numeric_print(<#int $oid_format#>)
snmp_set_oid_output_format	[#bool#]snmp_set_oid_output_format(<#int $oid_format#>)
snmp_set_quick_print	[#void#]snmp_set_quick_print(<#bool $quick_print#>)
snmp_set_valueretrieval	[#bool#]snmp_set_valueretrieval(<#int $method#>)
snmpwalk	[#array#]snmpwalk(<#string $hostname#>,<#string $community#>,<#string $object_id#>,<#int $timeout#>,<#int $retries#>)
snmpwalkoid	[#array#]snmpwalkoid(<#string $hostname#>,<#string $community#>,<#string $object_id#>,<#int $timeout#>,<#int $retries#>)
socket_accept	[#resource#]socket_accept(<#resource $socket#>)
socket_bind	[#bool#]socket_bind(<#resource $socket#>,<#string $address#>,<#int $port#>)
socket_clear_error	[#void#]socket_clear_error(<#resource $socket#>)
socket_close	[#void#]socket_close(<#resource $socket#>)
socket_cmsg_space	[#int#]socket_cmsg_space(<#int $level#>,<#int $type#>)
socket_connect	[#bool#]socket_connect(<#resource $socket#>,<#string $address#>,<#int $port#>)
socket_create_listen	[#resource#]socket_create_listen(<#int $port#>,<#int $backlog#>)
